TypeID,Name
502,American Amber / Red Ale
503,American Blonde Ale
504,American IPA
505,American Porter
506,American Pale Ale (APA)
507,American Adjunct Lager
508,American Amber / Red Ale
509,American IPA
510,American IPA
511,American Pale Ale (APA)
512,American Pale Ale (APA)
513,American Pale Ale (APA)
514,American Pale Ale (APA)
515,American Pale Ale (APA)
516,American Amber / Red Ale
517,American IPA
518,American Pilsner
519,American IPA
520,Witbier
521,American Amber / Red Ale
522,American Blonde Ale
523,English Dark Mild Ale
524,Pumpkin Ale
525,American Double / Imperial IPA
526,American IPA
527,German Pilsener
528,American Amber / Red Ale
529,American Amber / Red Ale
530,American Blonde Ale
531,American Black Ale
532,Vienna Lager
533,Munich Helles Lager
534,American IPA
535,Munich Helles Lager
536,American IPA
537,Vienna Lager
538,American Pale Wheat Ale
539,Vienna Lager
540,American Pale Ale (APA)
541,American Pale Lager
542,American Blonde Ale
543,American Blonde Ale
544,American Blonde Ale
545,Winter Warmer
546,English India Pale Ale (IPA)
547,Kölsch
548,American Black Ale
549,Berliner Weissbier
550,American Double / Imperial IPA
551,American IPA
552,Cider
553,Cider
554,Cream Ale
555,American IPA
556,Witbier
557,Winter Warmer
558,Witbier
559,American IPA
560,Cream Ale
561,Witbier
562,Scottish Ale
563,American Brown Ale
564,American Porter
565,American Double / Imperial IPA
566,
567,American IPA
568,Smoked Beer
569,American Pale Ale (APA)
570,Cream Ale
571,American Blonde Ale
572,American Amber / Red Ale
573,Altbier
574,American Amber / Red Lager
575,Altbier
576,American Pale Ale (APA)
577,Herbed / Spiced Beer
578,American IPA
579,American Double / Imperial IPA
580,American Black Ale
581,Rye Beer
582,American Stout
583,Kölsch
584,American IPA
585,Kölsch
586,Fruit / Vegetable Beer
587,American Pale Ale (APA)
588,English Brown Ale
589,American Strong Ale
590,Märzen / Oktoberfest
591,American IPA
592,Fruit / Vegetable Beer
593,Altbier
594,American Double / Imperial IPA
595,American Pilsner
596,Cider
597,Cider
598,Bock
599,American IPA
600,American Black Ale
601,American Brown Ale
602,Märzen / Oktoberfest
603,American Porter
604,American IPA
605,American IPA
606,American IPA
607,American Pale Ale (APA)
608,American IPA
609,American IPA
610,American IPA
611,American Pale Ale (APA)
612,American Pale Wheat Ale
613,American IPA
614,American IPA
615,American Porter
616,American Pale Ale (APA)
617,English Brown Ale
618,American Brown Ale
619,Munich Helles Lager
620,American Amber / Red Ale
621,American IPA
622,Witbier
623,Light Lager
624,Pumpkin Ale
625,Witbier
626,Munich Helles Lager
627,American IPA
628,Light Lager
629,English Pale Ale
630,American IPA
631,American Black Ale
632,American Pale Wheat Ale
633,American Blonde Ale
634,American Brown Ale
635,Kölsch
636,American IPA
637,American Amber / Red Ale
638,American Amber / Red Ale
639,Fruit / Vegetable Beer
640,American IPA
641,German Pilsener
642,American Blonde Ale
643,American Pilsner
644,American Amber / Red Ale
645,Oatmeal Stout
646,Extra Special / Strong Bitter (ESB)
647,American Pale Lager
648,Kölsch
649,American Blonde Ale
650,Oatmeal Stout
651,American Black Ale
652,American Pale Ale (APA)
653,Belgian Strong Pale Ale
654,American Stout
655,American Amber / Red Ale
656,American Amber / Red Ale
657,Witbier
658,American Pale Ale (APA)
659,American Amber / Red Ale
660,American IPA
661,Berliner Weissbier
662,American Blonde Ale
663,American Porter
664,American Pale Ale (APA)
665,American Amber / Red Ale
666,Herbed / Spiced Beer
667,American Brown Ale
668,American Blonde Ale
669,Cream Ale
670,American Porter
671,American IPA
672,American Amber / Red Ale
673,Kölsch
674,American Blonde Ale
675,Witbier
676,Scottish Ale
677,American IPA
678,English Pale Ale
679,Kölsch
680,Scotch Ale / Wee Heavy
681,American Blonde Ale
682,Hefeweizen
683,American Porter
684,American Double / Imperial IPA
685,American IPA
686,Belgian Pale Ale
687,American Pale Ale (APA)
688,American IPA
689,American IPA
690,American IPA
691,American Pale Lager
692,American Blonde Ale
693,American Pale Ale (APA)
694,American Amber / Red Ale
695,Euro Pale Lager
696,American Brown Ale
697,American Double / Imperial IPA
698,American Pale Ale (APA)
699,Baltic Porter
700,Saison / Farmhouse Ale
701,German Pilsener
702,American Blonde Ale
703,American IPA
704,American IPA
705,English Pale Mild Ale
706,Irish Dry Stout
707,American Blonde Ale
708,American IPA
709,Irish Red Ale
710,American IPA
711,American Porter
712,American Pale Ale (APA)
713,Hefeweizen
714,Abbey Single Ale
715,American IPA
716,Gose
717,Fruit / Vegetable Beer
718,American Double / Imperial IPA
719,Abbey Single Ale
720,American Pale Ale (APA)
721,American Pale Ale (APA)
722,American Amber / Red Ale
723,American Black Ale
724,American IPA
725,Scotch Ale / Wee Heavy
726,American Pale Ale (APA)
727,American IPA
728,American Amber / Red Ale
729,Hefeweizen
730,Extra Special / Strong Bitter (ESB)
731,American Double / Imperial IPA
732,American Pale Ale (APA)
733,Irish Dry Stout
734,English Dark Mild Ale
735,Cider
736,Cider
737,American IPA
738,Fruit / Vegetable Beer
739,Hefeweizen
740,American Amber / Red Ale
741,American IPA
742,American Pale Wheat Ale
743,Pumpkin Ale
744,American IPA
745,American Pale Ale (APA)
746,Pumpkin Ale
747,Fruit / Vegetable Beer
748,German Pilsener
749,American IPA
750,Extra Special / Strong Bitter (ESB)
751,American Amber / Red Lager
752,American Brown Ale
753,American Adjunct Lager
754,Fruit / Vegetable Beer
755,American Pale Ale (APA)
756,American Pale Lager
757,American IPA
758,American IPA
759,American IPA
760,American Blonde Ale
761,Belgian IPA
762,American Pale Wheat Ale
763,American Pale Ale (APA)
764,American Porter
765,Czech Pilsener
766,Berliner Weissbier
767,American Double / Imperial IPA
768,American Pale Ale (APA)
769,American IPA
770,American Pale Ale (APA)
771,American Pale Ale (APA)
772,Scottish Ale
773,American IPA
774,American Pale Ale (APA)
775,American IPA
776,American Stout
777,Belgian Pale Ale
778,Roggenbier
779,Kölsch
780,American IPA
781,American Amber / Red Ale
782,Fruit / Vegetable Beer
783,American IPA
784,American Amber / Red Ale
785,American Double / Imperial IPA
786,Scottish Ale
787,American Double / Imperial IPA
788,American Double / Imperial IPA
789,American Double / Imperial IPA
790,American Porter
791,Kristalweizen
792,Czech Pilsener
793,Kölsch
794,American Double / Imperial IPA
795,American Black Ale
796,Belgian Strong Dark Ale
797,American Pale Wheat Ale
798,American Stout
799,American Amber / Red Ale
800,American Pale Ale (APA)
801,American IPA
802,American Pale Ale (APA)
803,American Blonde Ale
804,American IPA
805,American IPA
806,German Pilsener
807,American Blonde Ale
808,American Blonde Ale
809,Doppelbock
810,American Blonde Ale
811,American IPA
812,American IPA
813,American Pale Ale (APA)
814,American IPA
815,American Pale Lager
816,American Porter
817,American IPA
818,Saison / Farmhouse Ale
819,American IPA
820,American Porter
821,American Blonde Ale
822,Witbier
823,American IPA
824,Belgian Pale Ale
825,American IPA
826,American IPA
827,American IPA
828,American Black Ale
829,American IPA
830,American Pale Ale (APA)
831,Witbier
832,American Pale Ale (APA)
833,American Double / Imperial Stout
834,American Amber / Red Lager
835,American IPA
836,American Amber / Red Ale
837,American Pale Wheat Ale
838,American Amber / Red Ale
839,Kölsch
840,American IPA
841,Scotch Ale / Wee Heavy
842,American IPA
843,American IPA
844,American IPA
845,American Porter
846,American Blonde Ale
847,Oatmeal Stout
848,Belgian Pale Ale
849,American IPA
850,American IPA
851,American Pale Lager
852,Kölsch
853,
854,American Porter
855,Fruit / Vegetable Beer
856,American IPA
857,Scottish Ale
858,Kölsch
859,American Porter
860,American Pale Wheat Ale
861,American Pale Ale (APA)
862,American White IPA
863,American Amber / Red Ale
864,American IPA
865,Munich Helles Lager
866,
867,American Brown Ale
868,Witbier
869,Munich Helles Lager
870,American Amber / Red Ale
871,Witbier
872,American IPA
873,Berliner Weissbier
874,American IPA
875,American Pale Ale (APA)
876,English Strong Ale
877,Saison / Farmhouse Ale
878,American Pale Ale (APA)
879,American Pale Ale (APA)
880,American IPA
881,Kölsch
882,Scotch Ale / Wee Heavy
883,Extra Special / Strong Bitter (ESB)
884,American IPA
885,American Pale Ale (APA)
886,American IPA
887,American Blonde Ale
888,American Amber / Red Ale
889,American IPA
890,American Pale Lager
891,Saison / Farmhouse Ale
892,American IPA
893,American IPA
894,American IPA
895,American IPA
896,Hefeweizen
897,American IPA
898,American IPA
899,Kölsch
900,American Brown Ale
901,American IPA
902,American IPA
903,American IPA
904,Hefeweizen
905,American Porter
906,American IPA
907,American Pale Wheat Ale
908,American Pale Ale (APA)
909,American Double / Imperial IPA
910,Oatmeal Stout
911,American IPA
912,American Brown Ale
913,American Pale Ale (APA)
914,American IPA
915,American Pale Ale (APA)
916,American Pale Ale (APA)
917,American Pale Wheat Ale
918,American Pale Wheat Ale
919,American Pale Wheat Ale
920,American Pale Lager
921,American Pale Wheat Ale
922,American Pilsner
923,American Amber / Red Ale
924,American IPA
925,American Pale Wheat Ale
926,English Brown Ale
927,American Pale Ale (APA)
928,American Blonde Ale
929,Fruit / Vegetable Beer
930,American Porter
931,American IPA
932,Dortmunder / Export Lager
933,American Blonde Ale
934,American Porter
935,Märzen / Oktoberfest
936,American Brown Ale
937,Fruit / Vegetable Beer
938,Dortmunder / Export Lager
939,American Dark Wheat Ale
940,Witbier
941,American Stout
942,English Stout
943,American Porter
944,Euro Dark Lager
945,English Dark Mild Ale
946,American IPA
947,American Blonde Ale
948,American Pale Ale (APA)
949,Old Ale
950,American Pale Wheat Ale
951,American IPA
952,Tripel
953,American IPA
954,Russian Imperial Stout
955,Saison / Farmhouse Ale
956,American IPA
957,American Pale Lager
958,American Pale Lager
959,American Pale Ale (APA)
960,American Pale Lager
961,Fruit / Vegetable Beer
962,American Brown Ale
963,American Blonde Ale
964,American Blonde Ale
965,Vienna Lager
966,Irish Red Ale
967,Vienna Lager
968,Witbier
969,Irish Red Ale
970,American Pale Ale (APA)
971,Rye Beer
972,American Brown Ale
973,American IPA
974,Märzen / Oktoberfest
975,American Amber / Red Ale
976,American Stout
